side,entry_ts,exit_ts,entry,exit,notional,pnl,reason
LONG,2026-01-20 06:20:00+00:00,2026-01-20 06:45:00+00:00,3140.1,3116.68,9771.50456580841,-84.56148833909396,STOP
LONG,2026-01-20 06:55:00+00:00,2026-01-20 08:10:00+00:00,3115.2,3105.47,6998.791003409849,-30.2454218033792,STOP
LONG,2026-01-20 15:10:00+00:00,2026-01-20 19:10:00+00:00,3016.36,2994.0,5058.475580072298,-43.54568736585925,TIME
LONG,2026-01-20 22:35:00+00:00,2026-01-21 02:35:00+00:00,2944.22,2958.9,4040.750961960296,15.28635816292196,TIME
LONG,2026-01-21 12:20:00+00:00,2026-01-21 13:45:00+00:00,2914.17,2923.64,4554.542536034389,9.326286880611839,TRAIL
SHORT,2026-01-21 14:15:00+00:00,2026-01-21 14:30:00+00:00,2971.77,2989.73,14536.126970942438,-105.34567377707249,STOP
SHORT,2026-01-21 14:35:00+00:00,2026-01-21 15:15:00+00:00,2983.64,3017.77,10094.322313933255,-127.65190193903433,STOP
LONG,2026-01-21 16:25:00+00:00,2026-01-21 16:30:00+00:00,2960.45,2943.11,8036.761732149283,-56.688932929228464,STOP
LONG,2026-01-21 16:45:00+00:00,2026-01-21 17:10:00+00:00,2919.73,2871.6,3320.7062096037007,-58.69185615243361,STOP
SHORT,2026-01-21 19:50:00+00:00,2026-01-21 21:15:00+00:00,3053.69,3038.11,7840.559704362536,30.61805462563204,TRAIL
LONG,2026-01-22 13:55:00+00:00,2026-01-22 14:45:00+00:00,2971.34,2937.59,10606.919030312081,-133.13482890295353,STOP
LONG,2026-01-22 15:30:00+00:00,2026-01-22 18:50:00+00:00,2913.04,2942.44,4765.971533687471,42.35277665008592,TRAIL
LONG,2026-01-23 06:30:00+00:00,2026-01-23 06:50:00+00:00,2945.09,2941.88,6485.453582265658,-14.847121277851363,STOP
LONG,2026-01-23 08:35:00+00:00,2026-01-23 09:50:00+00:00,2928.73,2918.41,13941.787004554868,-65.82750549435977,STOP
LONG,2026-01-23 14:40:00+00:00,2026-01-23 18:40:00+00:00,2907.14,2990.0,3211.739352425324,87.63275135669623,TIME
LONG,2026-01-23 19:35:00+00:00,2026-01-23 20:30:00+00:00,2953.27,2935.86,12031.861238409341,-85.32542610248201,STOP
LONG,2026-01-24 14:00:00+00:00,2026-01-24 15:35:00+00:00,2950.99,2958.77,6630.0859744775335,9.512990131555695,TRAIL
LONG,2026-01-25 00:00:00+00:00,2026-01-25 01:15:00+00:00,2952.63,2952.98,10936.724789911776,-11.828425876409302,TRAIL
